product_id,1304808,1304849,1305263,1306183,1306413,1306571,1306650,1306747,1306980,1307035,1307069,1307070,1307071,1307072,1307073,1307140,1307187,1307194,1307310,1307346,1307348,1307349,1307352,1307370,1307408,1307441,1307450,1307552,1307566,1307568,1307571,1307572,1307573,1307574,1307582,1307583,1307584,1307585,1307586,1307588,1307589,1307594,100002043,100008006,100008333,100008382,100011103,100023514,100023842,100029766,100041192,100070656,100083239,100104481,100104755,100106029,100106045,100106207,100109950,100113894,100120340,100123713
1307140,0,0,6.37,0,0,-6.52,0,0,7.32,0,0,0,0,10.91,0,7.12,0,0,0,0,0,0,0,5.13,0,0,7.34,0,7.12,0,0,8.78,7.52,4.85,-4.72,4.22,13.11,10.16,6.91,0,0,0,7.54,5.78,5.82,8.87,11.88,0,5.76,6.62,9.0,10.36,0,12.37,11.45,4.99,9.41,0,11.74,14.27,14.56,11.22
1307187,12.41,0,6.09,0,0,-6.22,0,0,0,-10.54,0,0,0,0,-7.67,0,-6.01,0,-3.23,0,0,0,0,0,0,0,0,0,0,0,0,0,6.14,0,-5.27,0,0,0,0,0,0,0,0,0,0,5.94,0,0,6.56,0,0,0,0,0,0,0,8.9,6.49,8.9,9.6,0,7.55
1307194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.18,0,0,0,0,0,6.17,0,0,0,5.52,0,6.7,0,0,0,10.44,0,5.98,0,0,0,0,0,0,0,0,0,0,8.1,0,0,0,0,0,0,0,0,9.65,0,10.29,0
1307310,0,0,0,0,0,-5.46,0,5.15,0,0,0,0,0,8.52,-6.53,6.14,0,0,-2.94,0,0,0,0,4.83,0,0,6.86,0,5.98,0,0,7.54,6.61,3.67,-5.0,0,11.31,9.03,5.85,0,0,0,5.67,4.35,5.3,7.45,10.67,0,5.57,5.82,7.59,9.19,0,10.47,9.64,5.25,8.16,0,10.82,11.51,12.84,10.3
1307346,0,0,9.67,0,0,-7.22,0,0,10.69,0,0,0,8.31,20.07,0,7.0,0,0,0,0,0,0,6.44,8.18,0,0,7.25,0,9.59,0,0,11.98,0,7.32,0,7.17,17.94,13.31,8.78,0,0,0,13.1,9.67,7.16,10.01,14.12,0,0,6.73,12.26,14.5,0,14.15,17.07,0,9.56,0,15.68,12.08,16.73,11.64
1307348,22.01,0,0,0,0,0,0,9.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.13,0,0
1307349,17.99,0,0,0,0,0,0,9.83,0,0,-6.77,0,0,0,0,0,0,0,-4.67,0,0,0,0,0,0,0,5.95,0,0,0,0,0,6.9,0,-5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.64,0,0,0,0,0,0,5.94,0,0,10.63,0,7.92
1307352,0,0,0,0,0,-5.71,-6.52,0,6.4,0,0,0,0,9.12,0,7.1,0,0,-3.11,0,0,0,0,4.96,0,7.81,7.03,0,6.52,-4.71,0,8.46,6.69,4.08,-4.44,3.25,11.82,9.9,6.14,0,-8.0,0,6.1,0,5.4,7.28,10.92,0,4.8,6.05,7.57,9.27,0,10.6,9.6,4.42,7.96,0,10.82,12.31,13.25,10.31
1307370,0,0,0,0,0,-3.19,0,3.93,0,0,0,0,0,0,0,4.19,0,0,-2.1,0,0,0,0,3.27,0,5.42,5.32,0,4.38,0,0,5.26,4.73,2.43,-2.94,0,7.83,6.83,4.1,0,0,0,0,0,3.59,5.06,7.47,0,3.38,4.36,5.02,5.15,0,6.33,5.74,3.93,5.4,0,7.43,8.02,8.49,7.14
1307408,11.65,0,0,0,0,0,0,5.83,0,0,-3.37,0,0,0,0,0,0,0,-2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,3.78,0,-3.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.01,0,3.95
